City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bethel,US,90.0,1554162960.0,76.0,60.79,-161.76,46.4,6.93
Mahebourg,MU,20.0,1554167341.0,88.0,-20.41,57.7,75.99,3.36
Kamenka,RU,0.0,1554166081.0,66.0,53.19,44.05,37.99,7.16
Yellowknife,CA,75.0,1554167423.0,57.0,62.45,-114.38,23.0,21.92
Saint George,BM,90.0,1554166911.0,88.0,32.38,-64.68,68.0,13.87
Avarua,CK,36.0,1554165000.0,74.0,-21.21,-159.78,80.6,9.17
Lebu,CL,12.0,1554167708.0,95.0,-37.62,-73.65,55.21,10.29
Kapaa,US,90.0,1554167595.0,73.0,22.08,-159.32,78.8,11.41
Hanyang,CN,92.0,1554167550.0,77.0,32.14,105.51,60.01,2.68
Vaini,TO,20.0,1554163200.0,70.0,-21.2,-175.2,84.2,10.29
Samana,DO,,,,,,,
Barrow,US,1.0,1554167710.0,56.0,39.51,-90.4,48.2,8.05
Labutta,MM,,,,,,,
Mataura,PF,,,,,,,
Cape Town,ZA,0.0,1554167591.0,62.0,-33.93,18.42,60.01,16.11
Roald,NO,48.0,1554167702.0,69.0,62.58,6.12,37.99,8.05
Karamea,NZ,,,,,,,
Mys Shmidta,RU,,,,,,,
Ribeira Grande,PT,36.0,1554167723.0,100.0,38.52,-28.7,59.53,24.38
Torbay,CA,90.0,1554167718.0,100.0,47.66,-52.73,48.99,17.22
Ushuaia,AR,75.0,1554163200.0,76.0,-54.81,-68.31,53.6,13.87
Jamestown,SH,88.0,1554167727.0,100.0,-15.94,-5.72,76.63,17.45
Mujiayingzi,CN,0.0,1554167728.0,40.0,42.12,118.78,31.18,6.82
Belyy Yar,RU,0.0,1554165000.0,79.0,53.6,91.39,24.8,4.47
Upernavik,GL,76.0,1554167731.0,100.0,72.79,-56.15,16.42,7.16
Albany,AU,75.0,1554163200.0,87.0,-35.02,117.88,60.8,8.05
Hilo,US,90.0,1554167540.0,65.0,19.71,-155.08,78.8,8.05
Ilulissat,GL,0.0,1554162600.0,40.0,69.22,-51.1,15.8,12.75
Verkhnevilyuysk,RU,12.0,1554167736.0,74.0,63.45,120.31,23.53,5.59
